date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:23	7393/7393	---M-Z	200	added ('OK')	text/html	etag:%223310bb4c916bd41:0%22	https://www.w3schools.com/w3css/tryw3css_templates_architect.htm	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/tryw3css_templates_architect.html	(from )
22:44:23	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	https://www.w3schools.com/robots.txt		(from )
22:44:24	23361/23361	---M-Z	200	added ('OK')	text/css	etag:%220386ec7c1dd51:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:24	85530/85530	---M--	200	added ('OK')	image/jpeg	etag:%2232c6165a783ad21:0%22	https://www.w3schools.com/w3images/architect.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/architect.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:24	30267/30267	---M--	200	added ('OK')	image/jpeg	etag:%2275afec393b30d21:0%22	https://www.w3schools.com/w3images/house5.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/house5.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:25	30068/30068	---M--	200	added ('OK')	image/jpeg	etag:%2287e4f333b30d21:0%22	https://www.w3schools.com/w3images/house2.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/house2.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:25	14906/14906	---M--	200	added ('OK')	image/jpeg	etag:%22ed92a4343b30d21:0%22	https://www.w3schools.com/w3images/house3.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/house3.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:25	16020/16020	---M--	200	added ('OK')	image/jpeg	etag:%227afcd3363b30d21:0%22	https://www.w3schools.com/w3images/house4.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/house4.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:25	8378/8378	---M--	200	added ('OK')	image/jpeg	etag:%22dd617481a02ed21:0%22	https://www.w3schools.com/w3images/team2.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/team2.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:26	14849/14849	---M--	200	added ('OK')	image/jpeg	etag:%22c9c38e7fa02ed21:0%22	https://www.w3schools.com/w3images/team1.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/team1.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
